Learning Rate,Loss,Accuracy,Training Time
1e−3,0.31003814935684204,0.8822320699691772,671.9360961914062
9e−4,0.31073811650276184,0.8822320699691772,669.5077741146088
8e−4,0.31059226393699646,0.8826361298561096,704.2608001232147
7e−4,0.3098084628582001,0.8824040293693542,673.6934087276459
6e−4,0.3108813762664795,0.883693516254425,807.8125622272491
5e−4,0.3091048300266266,0.8827650547027588,709.3203899860382
4e−4,0.30902859568595886,0.8826017379760742,803.4613254070282
3e−4,0.30915579199790955,0.8836849331855774,932.357757806778
2e−4,0.30668389797210693,0.8840546011924744,1005.7123954296112
1e−4,0.30783548951148987,0.8831863403320312,1376.2858955860138
