Optimizer,Loss,Accuracy,Training Time
SGD,0.3869454860687256,0.8585994243621826,256.2338914871216
SGD,0.38763895630836487,0.8580234050750732,255.3542275428772
Adagrad,0.47859010100364685,0.8350440859794617,257.43216609954834
RMSprop,0.33272063732147217,0.8757672905921936,258.1226921081543
Adam,0.3255266845226288,0.8756812810897827,265.0106077194214
Adamax,0.3258711099624634,0.8766957521438599,264.3151144981384
Nadam,0.3201170861721039,0.8779680728912354,315.0109951496124
