Model,Loss,Accuracy,Training Time
"Our Model(Residual, 2 units)",0.31159624457359314,0.8845962285995483,1413.7581822872162
"Our Model(Residual, 3 units)",0.3203344941139221,0.8836161494255066,1643.8393712043762
"Our Model(Residual, 4 units)",0.33014529943466187,0.8828080892562866,1834.9133026599884
