Model,Loss,Accuracy,Training Time
LeNet-5,0.3633984625339508,0.867634654045105,296.592933177948
ResNet-50,0.3885473608970642,0.8747614622116089,3096.722132921219
CNN,0.31688645482063293,0.8837623000144958,1592.8235430717468
