Model,Loss,Accuracy,Training Time
"Our Model(Residual, 1 units)",0.3122023046016693,0.8839686512947083,1405.4082448482513
"Our Model(Residual, 2 units)",0.3130715787410736,0.8842695355415344,1404.922955751419
"Our Model(Residual, 3 units)",0.3330748379230499,0.883409857749939,1652.8372311592102
"Our Model(Residual, 4 units)",0.3250788748264313,0.8838483095169067,1854.7739477157593
