Model,Loss,Accuracy,Training Time
"Our Model(Residual, 1 units)",0.3190176784992218,0.8824040293693542,1108.5529310703278
"Our Model(Residual, 2 units)",0.3136184811592102,0.8836591243743896,1413.1575889587402
"Our Model(Residual, 3 units)",0.3263671398162842,0.8837451338768005,1672.9889268875122
"Our Model(Residual, 4 units)",0.33026450872421265,0.8829972147941589,1863.3571972846985
