Model,Loss,Accuracy,Training Time
LeNet-5,0.36773422360420227,0.8651329874992371,184.55585765838623
ResNet-50,0.34203842282295227,0.8751826882362366,1470.091938495636
Our Model(CNN),0.377621054649353,0.862743079662323,120.98997020721436
Our Model(Residual),0.3083972632884979,0.8828768134117126,533.4849107265472
