optimizer,loss,accuracy
SGD,0.38824036717414856,0.8580406308174133
SGD,0.38786065578460693,0.8583071231842041
Adagrad,0.4829605221748352,0.8332817554473877
RMSprop,0.34795206785202026,0.8733515739440918
Adam,0.3238943815231323,0.8780540227890015
Adamax,0.32382988929748535,0.8774092793464661
Nadam,0.3256639242172241,0.8771599531173706
