Model,Loss,Accuracy,Training Time
"Our Model(Residual, 1 units)",0.31748440861701965,0.8804697394371033,490.63981676101685
"Our Model(Residual, 2 units)",0.3080156147480011,0.8831691145896912,1133.0984604358673
"Our Model(Residual, 3 units)",0.32266876101493835,0.8773490786552429,1611.6440389156342
"Our Model(Residual, 4 units)",0.31980109214782715,0.8783721327781677,1849.6545519828796
