0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
980,0,0,1,0,0,1,0,1,0,0,0,7,d,0,0,1,0,2,0,0,0,1,0,3076,1,D,0,3,0,1,2,0,0,0,0,9,4,2,7,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,4,8,2,3,0,0,C,0,3,0,0,0,0,0,0,0,0,1,1342,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,372,1,0,0,0,0,0,0,0,0,J,0,0,0,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,N,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,2,745,0,0,0,0,0,0,0,0,9,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,A,1,338,3,0,I,2,0,1,2,0,1,2,5,0,4,v,0,0,0,1,3,0,0,0,3040,0,0,1,0,0,0,0,0,0,6,2,0,7,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,a,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,M,0,3,1,1,0,0,0,4,7,0,0,0,3,0,5,3,0,0,1,F,0,3,0,0,0,1834,x,9,4,0,1,D,0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,X,726,0,0,6,0,0,0,0,0,0,0,0,0,0,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,O,0,0,0,0,0,0,6,2,761,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,3,0,411,6,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,1,W,0,0,8,0,6,0,0,0,1,0,1,0,0,2,8,0,0,0,0,0,2,0,0,1,1,0,I,0,4,691,0,0,0,3,0,0,5,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,F,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,441,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,r,D,0,0,3,0,1,1,Q,3,1,0,0,0,0,0,0,0,0,2,1,0,U,0,W,3,0,0,7,0,3,0,0,8,1388,1,8,C,0,9,3,3,G,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,b,0,2,0,1,H,0,5,0,0,2,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,763,8,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,399,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
