Optimizer,Loss,Accuracy,Training Time
SGD,0.34051796793937683,0.8720534443855286,1292.3281888961792
SGD,0.33353736996650696,0.8741768598556519,1296.3710894584656
Adagrad,0.3780114948749542,0.8619005680084229,1279.1657695770264
RMSprop,0.31605619192123413,0.8831175565719604,646.9427103996277
Adam,0.3123553395271301,0.8828940391540527,713.2173500061035
Adamax,0.3070029020309448,0.8837881088256836,814.7187659740448
Nadam,0.3078392744064331,0.8837966918945312,826.3346002101898
