Loss Function,Loss,Accuracy,Training Time
Cross Entropy Loss,0.3086710572242737,0.8833668828010559,1149.5805082321167
Focal Loss beta=1,0.049883242696523666,0.8787503838539124,1629.3754694461823
Focal Loss beta=2,0.03849943354725838,0.8697323203086853,1642.5733797550201
Focal Loss beta=3,0.02816241793334484,0.868021547794342,1614.1224119663239
