Trained Dataset,Tested Dataset,Loss,Accuracy,F1 Score
EMNIST ByClass,EMNIST ByClass,0.30755478143692017,0.8827220797538757,0.8705824538954826
EMNIST ByClass,EMNIST ByMerge,2.5515482425689697,0.9208490225408779,0.9166591364643002
EMNIST ByClass,EMNIST Balanced,3.3687734603881836,0.90531411245279,0.900457109465474
EMNIST ByMerge,EMNIST ByClass,,0.920316019325665,0.9149934294825188
EMNIST ByMerge,EMNIST ByMerge,0.22444528341293335,0.9142037034034729,0.9103219970426707
EMNIST ByMerge,EMNIST Balanced,0.25371474027633667,0.9030267596244812,0.8991835298699911
EMNIST Balanced,EMNIST ByClass,,0.8653135262461099,0.8643286725007573
EMNIST Balanced,EMNIST ByMerge,0.3778206706047058,0.8643850684165955,0.8654713690789044
EMNIST Balanced,EMNIST Balanced,0.37784743309020996,0.8698866963386536,0.8679397337723735
