Model,Loss,Accuracy,Training Time
LeNet-5,0.36778220534324646,0.8653049468994141,156.45131468772888
ResNet-50,0.33284792304039,0.8753546476364136,1235.7894496917725
Our Model(CNN),0.37136852741241455,0.8625281453132629,109.64607191085815
Our Model(Residual),0.30769646167755127,0.884020209312439,655.5957129001617
