Model,Loss,Accuracy,Training Time
LeNet-5,0.3683602213859558,0.8661044239997864,290.1438961029053
ResNet-50,0.7402576208114624,0.860026478767395,3150.425660133362
CNN,0.36569857597351074,0.8680731058120728,298.3279218673706
