0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
3238,0,0,1,3,0,2,0,A,0,7,5,6,144,2,0,3,0,0,1,0,0,0,0,2224,2,T,0,2,0,E,3,0,1,0,0,5,7,D,2,0,3,0,H,1,0,0
0,4837,G,0,2,0,1,6,3,0,0,0,1,0,0,0,0,0,1199,3,0,310,0,0,0,1,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,2,0,0,2,5,5
1,1,4684,H,0,0,0,J,6,0,2,3,4,6,0,0,0,0,6,5,0,N,0,0,0,1,R,E,3,2,0,2,1,1,1,726,139,1,S,1,0,R,1,1,A,0,2
0,0,9,5598,0,6,0,C,D,5,1,4,0,2,1,0,0,0,0,V,0,0,0,0,2,0,1,0,g,0,0,0,0,0,0,A,4,0,2,1,0,75,0,1,7,0,0
0,0,1,0,4837,0,2,0,0,e,Q,0,1,0,0,3,0,q,2,0,3,0,0,2,0,0,2,0,0,0,115,J,1,4,208,0,S,1,A,0,7,I,4,2,m,2,y
0,0,0,A,0,4445,2,0,3,6,0,8,4,1,H,I,7,0,3,Z,1,0,0,0,3,0,0,0,701,B,0,0,0,0,1,1,0,3,2,2,0,N,0,1,1,F,2
1,1,0,0,1,B,5264,0,4,0,0,2,Y,0,6,0,149,0,7,0,0,S,0,0,6,0,1,0,3,0,K,2,8,0,0,0,0,223,1,1,1,0,C,0,0,1,0
0,0,C,1,6,0,0,5560,0,x,1,0,0,1,0,8,0,0,5,0,0,0,0,0,1,6,0,1,0,g,0,0,0,0,I,B,0,0,0,0,4,2,1,Q,X,2,73
0,2,4,3,2,I,9,3,4879,8,3,328,1,3,L,K,2,1,8,0,7,0,0,0,5,64,2,E,8,0,0,5,0,8,6,1,0,5,E,E,3,f,0,0,123,I,2
0,1,0,A,H,4,0,W,5,4896,0,0,0,0,0,5,5,0,4,0,0,0,0,0,1,5,J,0,5,3,0,0,0,0,2,0,K,0,0,0,1,116,0,2,497,0,1
0,0,1,0,1,0,0,0,0,1,996,1,0,1,0,1,0,6,2,0,5,0,2,0,0,2,4,1,0,0,0,0,0,1,0,0,8,0,4,0,0,1,A,8,0,1,1
3,0,1,5,0,0,0,0,I,0,3,597,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,1,3,4,0,5,0,1,0,0,1,0,0
6,0,0,0,0,1,4,0,0,0,0,1,2005,0,C,2,0,0,0,0,0,2,0,0,9,2,0,0,1,0,1,0,0,0,0,2,4,0,1,95,0,0,0,0,0,8,0
c,0,0,0,0,0,0,0,0,0,0,2,1,640,0,0,0,0,0,2,0,0,0,0,d,2,1,0,1,0,0,1,1,0,0,0,1,3,0,0,0,0,0,3,0,0,0
0,0,0,0,0,2,0,0,1,0,1,1,3,0,817,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,D,5,0,0,0,1,1,2
0,2,0,1,0,9,0,0,2,2,1,0,2,0,A,817,1,0,0,0,1,0,0,0,0,N,0,1,1,5,0,0,0,0,1,1,0,0,0,0,602,4,0,0,0,B,R
0,0,0,0,0,1,H,0,2,0,0,7,1,0,3,1,386,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,1,3,1,0,1,0,0
0,0,1,0,8,0,0,0,1,0,4,0,0,0,0,0,0,540,1,0,2,0,2,8,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2
0,631,G,0,0,2,0,1,0,0,0,0,3,0,E,1,0,0,1516,u,0,75,0,0,0,0,0,1,3,3,0,0,1,0,0,84,0,1,0,0,0,0,1,0,0,3,1
1,6,3,0,0,8,0,1,1,1,0,0,0,0,0,0,0,0,i,797,0,0,0,0,0,0,0,0,E,F,2,5,0,0,0,1,0,1,7,0,1,2,0,0,0,0,2
0,0,0,0,1,0,2,0,0,0,3,1,2,0,2,1,0,4,0,0,749,3,0,1,0,0,0,B,0,0,1,3,0,5,0,0,0,1,2,1,0,0,A,3,0,1,2
0,1610,1,0,0,1,E,1,0,0,0,0,W,0,2,0,0,0,640,5,8,1011,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,5,4,2,0,0,4,0,0,3,5
0,0,0,0,8,0,0,0,0,0,A,0,0,0,0,0,0,j,0,0,1,0,1848,G,0,0,0,0,0,2,1,0,B,0,0,0,1,0,0,0,0,0,3,Y,0,3,1
1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,8,0,0,0,0,D,1288,1,1,1,1,0,0,3,5,3,2,1,0,2,0,3,2,0,0,0,9,0,1,0
1091,0,0,0,0,1,0,0,2,0,0,2,4,i,0,1,3,1,0,1,0,0,0,0,3476,2,9,0,5,1,6,0,0,0,0,0,H,5,1,B,0,0,0,5,0,0,1
3,4,0,0,0,0,1,3,F,2,8,0,0,J,0,6,0,1,0,0,0,0,1,0,6,1713,4,5,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,3,9,2
6,0,0,0,0,0,0,0,1,6,0,0,0,3,0,0,3,0,0,0,1,0,0,0,3,4,365,0,0,0,0,0,0,0,0,0,I,0,0,0,0,2,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,I,2,0,1,1,0,0,1,0,0,2,0,0,0,0,1,1,775,0,0,0,0,0,1,0,1,B,0,0,K,0,0,0,0,0,0,0
0,0,0,E,1,351,1,0,L,1,2,1,2,1,5,1,7,0,4,s,0,0,0,1,5,0,2,2,3396,0,0,0,0,0,0,0,3,0,6,6,1,9,0,0,0,2,0
0,0,0,0,0,1,0,b,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,1528,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,G,f
2,0,4,0,K,0,4,0,0,0,0,0,4,B,0,0,0,3,0,6,1,0,2,2,G,0,2,1,2,0,2317,71,F,8,0,2,Q,0,4,1,0,1,2,0,1,0,0
1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,6,0,0,2,1,0,0,0,0,0,0,q,1125,1,0,9,0,0,0,0,0,0,0,0,0,0,K,0
0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,P,0,0,0,0,0,0,J,9,1191,0,0,0,1,2,1,0,0,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,L,1,1,1,0,1,0,3,0,0,0,6,0,839,9,2,1,0,0,0,0,0,2,1,1,0,6
0,6,0,2,86,0,0,5,2,1,1,0,0,0,0,0,0,4,3,2,2,0,1,0,0,0,0,0,3,2,7,w,0,4,966,0,1,0,4,0,0,A,0,0,6,8,B
0,0,T,3,0,0,0,1,3,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,867,1,0,0,3,0,2,0,0,4,0,4
C,0,63,H,0,0,2,0,0,1,b,4,5,1,1,0,3,0,0,0,0,0,1,1,X,0,O,4,0,0,3,0,6,1,0,7,1392,0,A,D,0,6,1,4,F,0,1
1,2,0,0,0,1,g,0,2,0,0,8,0,8,1,0,1,2,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,838,4,0,0,0,A,1,1,0,2
0,0,7,1,3,0,0,0,2,0,1,2,0,9,0,0,0,1,2,2,0,3,0,4,4,0,8,2,0,0,0,1,2,2,1,0,Y,4,1608,0,1,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,0,3,136,0,M,0,1,0,2,0,0,0,0,0,5,8,2,3,0,0,2,0,0,0,0,1,S,0,1,3841,1,0,1,0,0,1,4
0,1,0,0,2,3,0,0,0,0,0,0,3,0,1,92,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0,0,1,1,1,284,0,0,0,0,3,R
0,0,1,G,2,2,2,6,Z,95,2,5,0,0,1,3,K,0,0,4,0,0,1,0,0,1,6,1,3,0,0,0,1,0,0,0,O,0,2,2,0,281,0,3,63,0,1
0,1,3,0,0,0,4,0,0,0,4,0,0,0,0,0,0,7,0,0,4,M,0,0,0,0,1,2,1,0,1,0,0,5,1,0,0,8,6,0,0,0,1425,a,1,0,3
0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,N,m,1,0,0,9,0,0,3,0,3,4,0,2,4,0,0,0,0,0,J,1737,0,B,0
0,1,1,0,0,0,0,0,W,156,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,4,D,1,0,1,0,0,0,0,0,3,E,1,0,2,0,S,1,1,265,0,3
0,1,0,0,0,2,0,1,1,0,4,0,1,0,0,0,0,0,7,0,0,0,0,2,0,2,0,U,2,S,0,N,0,3,7,0,1,0,0,3,1,0,2,K,0,2218,6
1,7,2,0,C,1,4,3,1,0,0,0,7,1,s,3,0,0,6,1,3,J,0,0,1,2,0,0,3,191,0,0,0,6,A,I,0,5,5,B,K,0,1,1,2,D,2565
