0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,382,4,1,0,0,1,0,0,0,1,0,0,0,2
0,1,0,0,U,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,3,G,0,0,333,0,0,0,1,0,0,3,0,0,0,5,0
0,0,F,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,372,1,0,0,2,0,0,0,0,3,0,2
2,0,6,1,0,0,0,0,1,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,4,2,0,0,1,0,1,0,0,0,361,0,0,0,0,5,0,1,3,0,1
1,0,0,0,0,0,J,0,1,0,1,7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,362,0,0,0,0,5,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,383,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,384,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,94,0,0,0,0,0,0,0,0,0,B,0,0,3,0,0,0,0,0,0,0,0,0,0,1,268,0,1,0,0,1,G
0,0,0,1,1,2,1,2,Q,z,1,1,1,0,0,0,A,0,0,1,0,0,0,0,1,1,6,1,0,0,1,0,0,0,0,0,D,0,0,0,0,222,0,1,j,0,0
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,2,6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,373,6,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,G,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,6,364,0,1,0
0,1,0,0,0,0,0,0,K,126,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,2,C,0,0,0,0,0,0,0,0,0,C,0,0,0,2,D,0,0,205,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,7,0,3,0,4,0,1,0,0,1,0,0,0,0,0,1,4,0,375,1
0,0,0,0,4,0,0,0,0,0,0,0,5,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,K,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,5,357
