0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
4830,0,1,0,2,0,5,0,0,1,0,1,3,V,0,0,0,0,0,0,0,0,0,0,872,0,5,0,0,0,8,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,C,0,0,0,0,0,0,0,0,0,0,0
0,5819,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,223,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,K,3,0,253,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,5793,3,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,2,0,0,0,0,2,1,0,1,C,7,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,N
0,0,2,5947,0,6,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,2,0,0,5548,0,2,0,0,5,5,0,0,0,0,0,0,B,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,8,0,1,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,1,0,6,2,1,0,2,9,0
0,0,0,5,0,4889,3,0,0,2,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2,2,0,0,2,0,5627,0,1,0,0,1,1,0,0,0,E,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,3,0,1,0,0,6117,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1
0,0,5,2,0,0,4,0,5582,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,1,1,0,0,0,0,3,0,1,4,0,1,1,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0
0,0,0,0,8,0,0,3,3,5608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,E,0,0,0,0,1,V,0,1,0,0,0,0,0,0,0,E,0,0,0,0,0,0,0,1,0
