Model,Loss,Accuracy,Training Time
LeNet-5,0.3671033978462219,0.8664655089378357,272.9048013687134
ResNet-50,0.7852853536605835,0.8591152429580688,3086.11820936203
WaveMix-Lite-128/7, 0, 0.8843, 0
Our Model(CNN),0.4084971249103546,0.8632932901382446,324.0439250469208
Our Model(Residual),0.3125115931034088,0.8843125104904175,1580.300610780716
